Age,NumberOfDependents,EducationLevel,MaritalStatus,HomeOwnership,ResidencyYears,State,NumberOfDependentsUnder18,EmploymentStatus,EmploymentLengthYears,EmployerType,JobCategory,AnnualIncome,MonthlyGrossIncome,SecondaryMonthlyIncome,TotalMonthlyIncome,IncomeVerified,YearsAtCurrentEmployer,SavingsBalance,CheckingBalance,InvestmentPortfolioValue,PropertyValue,VehicleValue,TotalAssets,MortgageOutstandingBalance,AutoLoanOutstandingBalance,StudentLoanOutstandingBalance,CreditHistoryLengthMonths,NumberOfOpenAccounts,NumberOfCreditCards,TotalCreditLimit,RevolvingUtilizationRate,NumberOfLatePayments30Days,NumberOfLatePayments60Days,NumberOfLatePayments90Days,NumberOfChargeOffs,NumberOfCollections,NumberOfBankruptcies,NumberOfPublicRecords,NumberOfHardInquiries12Mo,NumberOfHardInquiries24Mo,OldestAccountAgeMonths,AverageAccountAgeMonths,NumberOfSatisfactoryAccounts,DebtToIncomeRatio,RequestedLoanAmount,LoanPurpose,RequestedTermMonths,HasCoApplicant,CollateralType,CollateralValue,LoanToIncomeRatio,MonthlyPaymentEstimate,PaymentToIncomeRatio,PreviousLoanWithBank,RiskTier,InterestRate
38,0,HS Diploma,Married,Rent,3.4,Northeast,0,Full-Time,2.4,Government,Sales,27681.91,24921.18,0.0,24921.18,1,2.4,7169.41,629.51,0.0,,,66756.72,,,0.0,325.0,8,3,15346.72,0.2044,0,0,0,0,0,0.0,0.0,0.0,2,325,182,7,0.2508,9700.0,Business,36,0,None,,0.3504,1856.48,0.0745,0,1,6.19
41,1,No Diploma,Married,Rent,0.6,Mid-Atlantic,0,Unemployed,0.9,Corporate,Management,36838.32,50000.0,0.0,50000.0,1,0.9,9868.68,1630.22,,,0.0,11498.9,,0.0,,484.0,8,2,35579.72,0.322,0,0,0,0,0,1.0,2.0,1.0,1,543,339,7,0.043,5600.0,Debt Consolidation,60,1,None,0.0,0.152,154.21,0.0031,0,3,4.99
56,2,HS Diploma,Divorced,Mortgage,23.4,Alaska/Hawaii,0,Retired,12.9,SME,Professional,44989.73,11725.3,,14250.67,1,9.4,1039.97,13958.0,0.0,0.0,8455.57,23453.54,0.0,15162.25,,,8,4,39932.42,0.2668,0,0,0,0,0,2.0,5.0,1.0,3,362,161,4,0.0878,36400.0,Debt Consolidation,24,1,None,,0.8091,1037.63,0.0728,0,4,7.66
57,0,Bachelor,Married,Rent,5.0,Southwest,0,Full-Time,10.2,Self,Management,61502.29,35753.27,1315.28,37068.55,1,4.8,3381.7,2937.48,232186.54,0.0,15702.55,254208.27,,,,385.0,7,3,34593.47,0.607,1,1,1,0,0,0.0,0.0,1.0,2,523,303,5,0.378,6900.0,Debt Consolidation,48,0,Property,14970.48,0.1122,1063.02,0.0287,0,4,10.4
51,0,Bachelor,Single,Rent,7.3,Pacific Coast,0,Full-Time,9.4,Corporate,Manual,32760.6,38447.26,0.0,38447.26,1,5.6,5248.62,1129.29,,,,10828.89,,0.0,,466.0,9,3,94725.22,0.6558,3,1,1,4,3,2.0,1.0,0.0,2,520,361,5,0.2549,5700.0,Education,36,0,None,,0.174,204.32,0.0053,0,4,35.99
40,1,HS Diploma,Married,Living with Family,6.6,Mountain West,0,Full-Time,,Government,Professional,53309.42,5623.65,1446.54,7070.19,0,1.9,77877.57,4048.45,,,26047.03,195262.74,,,29723.36,382.0,11,3,30275.63,0.2441,0,0,0,0,0,0.0,0.0,2.0,4,382,114,11,0.5399,14000.0,Medical,36,1,None,,0.2626,361.33,0.0511,0,1,5.62
57,1,HS Diploma,Married,Mortgage,16.1,Alaska/Hawaii,1,Part-Time,5.8,Non-Profit,Sales,80071.38,50000.0,0.0,50000.0,0,4.5,1791.6,3698.33,33318.37,310499.67,,365285.86,0.0,0.0,,478.0,9,4,,0.253,0,0,0,0,0,0.0,0.0,0.0,1,483,258,8,0.5571,4200.0,Auto,24,0,Property,48759.01,0.0525,707.43,0.0141,0,0,4.99
35,1,No Diploma,Married,Mortgage,3.7,Great Plains,1,Full-Time,2.4,Non-Profit,Professional,84671.34,5375.91,,5375.91,1,2.4,9115.95,8427.58,1528.68,0.0,23354.17,42426.38,0.0,9058.38,18879.5,448.0,12,4,200000.0,0.0456,0,0,0,0,0,0.0,0.0,1.0,4,448,151,5,0.4,8200.0,Business,60,0,None,,0.0968,412.24,0.0767,0,2,4.99
35,1,HS Diploma,Single,Rent,0.5,Great Plains,1,Full-Time,10.4,Non-Profit,Professional,70638.33,50000.0,0.0,50000.0,1,8.3,7501.89,2601.06,,,,26251.26,0.0,16570.88,12447.1,289.0,9,4,,0.3125,0,0,0,0,0,1.0,3.0,,0,289,142,7,0.1868,18000.0,Medical,36,1,None,,0.2548,1060.07,0.0212,1,3,4.99
67,4,Master,Married,Mortgage,6.0,Southwest,1,Full-Time,15.8,Government,Sales,48524.68,22110.73,,22110.73,1,6.5,10694.97,4107.89,5376.52,,16038.62,440565.19,51676.33,0.0,,578.0,7,4,33626.42,0.6768,1,1,1,1,0,0.0,0.0,1.0,3,589,391,6,0.2438,10500.0,Personal,36,0,Vehicle,36118.43,0.2164,663.24,0.03,1,4,6.46
42,1,Some College,Married,Own,2.4,Northeast,1,Full-Time,8.9,Corporate,Service,61433.66,50000.0,0.0,50000.0,0,5.1,9573.55,13758.99,0.0,,,346923.16,0.0,3558.21,,266.0,9,5,23499.85,0.5484,0,0,0,0,0,2.0,5.0,0.0,1,266,79,6,0.0974,14200.0,Home Improvement,48,1,Vehicle,0.0,0.2311,844.04,0.0169,1,3,6.08
21,0,Bachelor,Divorced,Mortgage,2.0,Southeast,0,Full-Time,3.4,Non-Profit,Service,40090.08,29575.73,0.0,29575.73,1,1.4,12504.67,2439.41,0.0,242000.94,20315.4,277260.42,,15942.15,,364.0,10,2,200000.0,,1,0,0,1,0,0.0,0.0,0.0,0,364,147,5,0.3768,11100.0,Education,36,0,Savings Account,19648.49,0.2769,306.87,0.0104,0,3,9.73
53,0,HS Diploma,Married,Living with Family,16.5,Mountain West,0,Full-Time,3.2,Government,Technical,74188.14,26061.31,0.0,26061.31,0,1.8,10525.99,2094.49,0.0,,7581.9,20202.38,0.0,0.0,,391.0,4,0,21515.81,0.1519,0,0,0,0,0,0.0,0.0,0.0,3,564,361,4,0.2538,15600.0,Personal,60,0,Vehicle,23129.63,0.2103,840.14,0.0322,0,1,4.99
60,1,HS Diploma,Married,Rent,11.6,Northeast,1,Part-Time,0.5,Non-Profit,Professional,62811.03,50000.0,0.0,50000.0,1,0.3,25267.19,1133.85,,,0.0,26401.04,,0.0,,594.0,10,5,52627.01,0.4729,0,0,0,0,0,0.0,0.0,3.0,3,597,395,8,0.1886,21100.0,Business,36,0,Property,0.0,0.3359,510.67,0.0102,0,0,4.99
33,1,Master,Single,Mortgage,2.4,Midwest,0,Full-Time,0.6,Corporate,Manual,38304.78,8999.3,0.0,8999.3,1,0.1,23451.97,1646.65,0.0,,,41839.61,0.0,10570.3,,426.0,7,3,,0.0873,0,0,0,0,0,0.0,0.0,0.0,1,426,287,5,0.1627,17500.0,Auto,12,0,Savings Account,14551.71,0.4569,324.78,0.0361,0,2,5.09
48,0,HS Diploma,Married,Own,7.1,Midwest,0,Full-Time,23.3,Corporate,Technical,36724.41,10504.67,0.0,10504.67,0,16.5,10549.77,551.18,41643.79,147789.78,9381.5,209916.02,0.0,0.0,,370.0,8,1,21846.43,0.1629,0,0,0,0,0,0.0,0.0,6.0,11,370,172,8,0.4175,46400.0,Home Improvement,84,0,None,0.0,1.2635,3547.33,0.3377,0,3,6.74
35,2,Some College,Single,Mortgage,7.3,Mid-Atlantic,0,Unemployed,1.2,Corporate,Service,47264.67,24605.65,,27697.91,0,0.4,49917.5,2889.36,,0.0,,74140.3,0.0,0.0,0.0,119.0,4,0,64047.53,0.4895,0,0,0,0,0,0.0,0.0,1.0,4,175,86,4,0.4896,12300.0,Auto,60,0,Savings Account,19096.82,0.2602,953.0,0.0344,1,3,4.99
31,3,Bachelor,Divorced,Rent,1.7,Midwest,2,Full-Time,2.3,Corporate,Sales,74153.62,50000.0,1493.29,51493.29,1,1.3,9573.43,1738.2,0.0,,22292.84,33604.47,,,,118.0,5,2,26808.03,0.6418,0,0,0,0,0,0.0,1.0,1.0,1,208,120,4,0.6924,13800.0,Home Improvement,48,0,Property,12257.79,0.1861,381.93,0.0074,0,4,4.99
31,0,HS Diploma,Single,Rent,1.3,Mid-Atlantic,0,Unemployed,1.6,Non-Profit,Technical,31087.37,24162.52,,24162.52,0,1.1,2675.34,2300.18,,,0.0,4975.52,,0.0,29273.24,473.0,8,2,41715.64,0.3251,0,0,0,0,0,0.0,0.0,0.0,3,473,280,8,0.1724,6400.0,Auto,48,0,None,,0.2059,122.48,0.0051,0,0,4.99
39,0,Some College,Single,Rent,8.8,Mid-Atlantic,0,Full-Time,6.2,Government,Service,15000.0,13316.49,0.0,13316.49,1,2.7,2196.73,1061.31,,0.0,7723.9,10981.94,,0.0,,163.0,7,3,27128.79,0.4862,1,0,0,0,0,0.0,2.0,2.0,7,278,112,4,0.4109,6700.0,Personal,48,0,None,,0.4467,695.67,0.0522,1,3,4.99
55,0,Bachelor,Married,Mortgage,15.1,Southeast,0,Unemployed,5.7,Government,Technical,21234.59,9984.46,,9984.46,0,1.9,5335.12,13283.11,,0.0,,18618.23,0.0,0.0,,585.0,11,6,36739.54,0.3967,1,1,1,1,0,,0.0,1.0,5,585,380,8,0.0983,8600.0,Home Improvement,48,0,Property,,0.405,652.07,0.0653,0,4,13.05
35,2,HS Diploma,Married,Rent,0.3,Mid-Atlantic,2,Part-Time,1.3,Corporate,Technical,45461.88,34166.3,0.0,34166.3,0,1.3,3090.88,2486.05,9400.37,,9836.69,24813.99,,0.0,0.0,224.0,6,1,44851.59,0.7223,0,0,0,0,1,2.0,1.0,3.0,3,248,243,4,0.1166,61500.0,Debt Consolidation,60,0,None,,1.3528,2150.54,0.0629,0,4,7.84
34,0,Bachelor,Single,Rent,2.1,Southeast,0,Full-Time,2.8,SME,Management,19087.69,49355.44,5019.68,54375.12,1,1.1,650.67,1213.32,0.0,,,34881.77,,0.0,18800.11,336.0,6,2,9716.04,0.6647,0,0,0,0,0,0.0,0.0,2.0,3,336,302,6,0.0951,11200.0,Debt Consolidation,36,0,None,0.0,0.5868,259.12,0.0048,0,0,4.99
43,1,Bachelor,Widowed,Mortgage,11.6,Southeast,0,Full-Time,6.9,SME,Service,123139.6,50000.0,0.0,50000.0,1,3.3,27389.07,5345.45,,257673.0,21642.21,313795.53,0.0,5810.85,30883.75,453.0,13,5,74647.65,0.3729,0,0,0,0,0,0.0,0.0,3.0,4,453,135,9,0.4029,4200.0,Debt Consolidation,60,0,None,,0.0341,611.28,0.0122,0,0,4.99
44,2,Bachelor,Single,Rent,2.0,Southeast,1,Retired,4.2,Non-Profit,Service,18765.11,16827.87,,16827.87,1,1.8,21649.52,1337.09,0.0,,18413.23,41399.84,0.0,9728.59,0.0,539.0,10,4,114435.1,0.7905,2,0,0,2,1,1.0,1.0,1.0,2,539,344,5,0.3059,6400.0,Business,60,0,Other,39750.95,0.3411,479.45,0.0285,0,4,26.95
40,4,HS Diploma,Married,Rent,0.8,Pacific Coast,2,Part-Time,0.0,Corporate,Management,78783.32,41121.81,,41121.81,1,0.0,54994.33,2209.05,57714.85,0.0,0.0,114918.23,0.0,,,577.0,11,2,51728.02,0.2393,0,0,0,0,0,0.0,0.0,0.0,0,577,356,11,0.1635,10700.0,Debt Consolidation,36,0,None,,0.1358,629.38,0.0153,0,0,4.99
38,3,Bachelor,Single,Rent,5.9,Pacific Coast,0,Full-Time,4.8,Corporate,Service,26439.7,10535.89,0.0,10535.89,1,1.4,13117.76,6808.23,,0.0,,32700.63,,,85301.23,444.0,8,5,22905.67,,0,0,0,0,0,0.0,0.0,3.0,3,444,313,5,0.105,20100.0,Debt Consolidation,36,0,Vehicle,,0.7602,414.23,0.0393,1,1,12.18
37,1,Some College,Married,Rent,2.9,Northeast,0,Full-Time,1.4,Non-Profit,Technical,159595.01,20283.55,773.51,21057.06,1,0.9,29526.01,5150.15,,,0.0,142328.75,0.0,0.0,,108.0,7,1,72434.19,,0,0,0,0,0,0.0,0.0,0.0,0,108,78,5,0.4713,13800.0,Debt Consolidation,12,0,None,,0.0865,118.71,0.0056,0,0,4.99
39,3,HS Diploma,Single,Own,15.1,Midwest,0,Full-Time,7.9,Corporate,Technical,27622.22,39228.56,,39228.56,0,5.1,3589.61,788.23,,0.0,25101.29,29479.13,0.0,21451.37,,134.0,5,2,22678.89,0.2904,0,0,0,0,0,0.0,0.0,0.0,2,201,176,3,0.4673,8300.0,Debt Consolidation,84,0,None,,0.3005,2193.16,0.0559,0,1,6.09
30,0,No Diploma,Divorced,Rent,0.5,Alaska/Hawaii,0,Full-Time,4.2,Corporate,Professional,18907.46,28415.82,0.0,28415.82,1,4.2,662.8,930.83,,,0.0,1593.63,0.0,0.0,0.0,480.0,7,3,139844.2,0.3682,0,0,0,1,0,0.0,0.0,0.0,0,565,331,2,0.0917,25800.0,Auto,36,0,None,,1.3645,609.2,0.0214,0,3,4.99
51,1,Bachelor,Married,Living with Family,8.6,Southeast,0,Full-Time,2.8,SME,Management,106581.54,39621.14,733.58,40354.72,0,1.3,18266.11,2641.32,,,44047.5,98708.68,,21463.94,,457.0,9,6,17715.21,0.0832,0,0,0,0,0,0.0,0.0,0.0,2,457,240,6,0.2852,57600.0,Business,36,0,None,,0.5404,1117.73,0.0277,0,1,7.15
25,0,HS Diploma,Divorced,Mortgage,12.1,Southeast,0,Full-Time,4.2,Corporate,Service,15000.0,4196.1,0.0,4196.1,0,2.5,1418.83,839.03,,0.0,,25694.84,0.0,0.0,0.0,48.0,8,2,10121.54,0.5602,0,0,0,0,0,0.0,0.0,0.0,0,48,14,8,0.3288,10300.0,Auto,48,0,Property,21313.68,0.6867,760.3,0.1812,0,3,4.99
55,3,HS Diploma,Single,Living with Family,8.9,Pacific Coast,0,Unemployed,4.6,SME,Management,53566.83,22021.91,,23952.12,1,4.5,32545.71,1819.61,,,,295389.9,,0.0,,477.0,11,2,28781.12,0.7812,1,0,0,0,1,0.0,0.0,8.0,9,477,256,11,0.1854,7400.0,Business,36,1,None,,0.1381,349.24,0.0146,1,4,9.31
50,3,Bachelor,Widowed,Rent,4.0,Northwest,0,Self-Employed,11.6,Corporate,Professional,25067.9,37320.99,0.0,37320.99,0,3.8,2316.95,2478.02,0.0,,,10810.48,,,,558.0,11,5,32826.74,0.9049,2,2,1,1,1,0.0,0.0,3.0,3,570,327,9,0.1014,18000.0,Debt Consolidation,36,0,None,,0.718,711.75,0.0191,1,4,15.4
53,2,Master,Divorced,Mortgage,4.7,Alaska/Hawaii,1,Full-Time,14.4,SME,Service,103318.58,46524.98,0.0,46524.98,0,4.5,6627.3,3009.31,43256.17,261150.52,7576.03,321619.33,,,,374.0,7,3,42815.17,0.6455,1,1,0,0,0,0.0,0.0,3.0,3,504,325,4,0.2252,39700.0,Education,36,0,Property,17962.06,0.3842,490.2,0.0105,1,3,5.84
25,0,Bachelor,Divorced,Rent,1.3,Midwest,0,Retired,1.8,Corporate,Management,34611.11,22143.13,0.0,22143.13,1,0.7,15173.26,13510.16,0.0,,,28683.42,,,26368.19,68.0,3,3,4865.59,0.6406,3,2,0,2,3,1.0,0.0,0.0,1,460,360,2,0.4378,5200.0,Other,48,1,Vehicle,,0.1502,1360.39,0.0614,0,4,35.99
57,2,HS Diploma,Single,Rent,3.5,Midwest,1,Full-Time,12.0,Corporate,Technical,50200.93,35869.77,299.61,36169.38,0,7.2,14830.95,2967.69,,,,61614.08,,0.0,,326.0,5,0,69734.66,0.4928,2,0,0,0,0,0.0,0.0,0.0,1,531,359,4,0.5322,7200.0,Education,12,0,None,,0.1434,394.22,0.0109,0,4,4.99
38,1,Master,Married,Living with Family,7.0,Southwest,1,Part-Time,1.5,Corporate,Manual,90051.42,42649.77,0.0,42649.77,0,0.5,62121.85,3352.61,,0.0,,79876.23,,0.0,,320.0,10,2,61851.94,0.1389,0,0,0,0,0,0.0,1.0,0.0,0,320,124,9,0.2867,12700.0,Home Improvement,84,1,Property,808.93,0.141,987.22,0.0231,0,0,9.77
29,0,Some College,Married,Rent,0.9,Northwest,0,Full-Time,3.6,SME,Technical,45276.95,22677.8,0.0,22677.8,1,1.3,6979.67,4631.61,21134.51,,57991.16,90736.95,,11804.05,0.0,,9,3,61674.43,0.4465,1,1,0,0,0,0.0,0.0,0.0,1,205,151,4,0.2494,14600.0,Debt Consolidation,36,0,None,,0.3225,251.3,0.0111,0,3,6.16
35,2,Some College,Single,Rent,7.0,Pacific Coast,0,Full-Time,,Non-Profit,Professional,49445.71,50000.0,,50000.0,0,0.2,13838.82,2580.06,27018.89,,17323.29,60761.06,,0.0,77463.74,274.0,8,3,40646.55,0.6372,2,0,0,1,1,0.0,1.0,0.0,1,397,216,6,0.3957,5600.0,Personal,84,0,None,0.0,0.1133,347.61,0.007,1,4,7.72
42,0,Master,Widowed,Rent,2.2,Southeast,0,Full-Time,13.9,Self,Technical,118936.01,17139.62,0.0,17139.62,1,5.5,39778.65,4879.69,19807.4,,29943.43,94409.17,,,0.0,409.0,11,2,200000.0,0.3269,0,0,0,0,0,0.0,0.0,5.0,6,409,180,7,0.5491,21300.0,Education,24,0,None,0.0,0.1791,176.2,0.0103,0,3,4.99
51,2,Master,Divorced,Living with Family,6.5,Southeast,2,Self-Employed,24.8,Corporate,Management,35272.4,43205.03,0.0,43205.03,0,8.5,1259.65,3400.92,0.0,,25151.35,29811.92,,9871.61,,372.0,8,3,30163.58,0.4811,1,1,1,0,0,0.0,0.0,1.0,4,470,283,5,0.6029,6000.0,Debt Consolidation,36,0,Vehicle,12532.29,0.1701,450.57,0.0104,0,4,12.07
46,1,PhD,Single,Living with Family,2.5,Northwest,1,Full-Time,12.0,SME,Manual,97921.65,22709.5,2093.74,24803.24,1,4.1,13761.18,11057.0,0.0,0.0,0.0,24818.18,,0.0,,490.0,9,1,172008.42,0.755,1,0,0,1,0,0.0,0.0,0.0,1,490,312,8,0.1911,14100.0,Education,36,0,None,,0.144,556.64,0.0224,0,3,6.04
46,3,Some College,Married,Rent,0.1,Pacific Coast,0,Unemployed,8.7,Corporate,Service,158511.01,21641.25,0.0,21641.25,0,5.9,44604.39,7625.53,,0.0,14793.78,145112.73,,7743.34,,550.0,9,3,79098.33,0.0803,0,0,0,0,0,0.0,1.0,3.0,8,559,348,6,0.305,14800.0,Medical,36,0,None,0.0,0.0934,292.8,0.0135,0,2,8.09
34,4,Bachelor,Widowed,Mortgage,0.3,Great Plains,1,Unemployed,8.1,Corporate,Sales,64042.2,30067.82,0.0,30067.82,0,5.9,4797.01,3643.08,0.0,231294.46,0.0,239734.55,0.0,0.0,,358.0,11,4,,0.2621,0,0,0,0,0,0.0,0.0,3.0,5,358,196,8,0.1288,71200.0,Other,48,0,None,,1.1118,840.12,0.0279,0,1,7.09
21,1,HS Diploma,Single,Own,0.7,Pacific Coast,0,Full-Time,0.3,Government,Sales,85954.13,39856.0,0.0,39856.0,1,0.3,17752.73,4274.57,29623.26,538536.22,0.0,590186.78,,0.0,0.0,41.0,8,3,35038.01,0.4403,1,1,0,0,0,0.0,1.0,3.0,4,47,47,4,0.1384,39700.0,Home Improvement,36,1,Vehicle,0.0,0.4619,3228.95,0.081,0,3,4.99
41,0,Some College,Single,Rent,3.2,Southwest,0,Full-Time,2.0,Corporate,Manual,78186.94,22427.93,,22718.17,0,2.0,24004.85,9222.0,136872.88,0.0,34362.64,204462.37,,10839.56,,379.0,9,5,23925.01,0.1774,0,0,0,0,0,0.0,0.0,0.0,3,379,175,6,0.4849,3200.0,Personal,60,0,Property,21436.71,0.0409,577.65,0.0254,0,0,8.69
30,1,No Diploma,Married,Mortgage,0.9,Mid-Atlantic,0,Full-Time,,Corporate,Professional,24653.91,35505.93,6094.77,41600.7,0,1.8,1966.0,5048.32,,0.0,0.0,7014.32,,8759.5,0.0,135.0,5,3,19612.1,0.2765,0,0,0,0,0,0.0,0.0,0.0,2,372,249,1,0.1416,4400.0,Debt Consolidation,60,1,Vehicle,0.0,0.1785,732.85,0.0176,0,1,4.99
64,5,HS Diploma,Married,Living with Family,1.2,Northwest,0,Retired,9.2,Corporate,Professional,80736.46,50000.0,,51335.34,1,6.8,7182.59,2079.94,139764.4,,0.0,149026.93,,0.0,,346.0,6,2,11796.09,0.3576,2,0,0,0,0,0.0,0.0,4.0,5,559,343,6,0.3969,10200.0,Debt Consolidation,24,0,None,,0.1263,279.16,0.0054,0,2,4.99
44,4,Bachelor,Widowed,Own,9.8,Pacific Coast,0,Retired,5.6,Corporate,Technical,55648.56,9997.62,0.0,9997.62,0,2.4,34083.75,2948.79,,262297.58,,360102.42,0.0,3761.09,0.0,159.0,6,1,48122.04,0.2021,0,0,0,0,0,0.0,0.0,1.0,4,159,79,5,0.1461,18200.0,Other,36,0,Vehicle,20174.49,0.3271,890.39,0.0891,0,1,5.7
42,2,HS Diploma,Widowed,Rent,5.0,Alaska/Hawaii,0,Full-Time,0.9,Corporate,Technical,53793.9,21874.12,0.0,21874.12,1,0.7,30062.91,3477.79,62762.02,0.0,0.0,96302.72,,,0.0,159.0,6,2,54723.41,0.4264,1,1,0,0,0,0.0,0.0,0.0,0,282,208,3,0.3817,14900.0,Personal,36,1,None,0.0,0.277,714.44,0.0327,0,3,7.92
42,0,Some College,Married,Own,5.5,Great Plains,0,Full-Time,10.2,Government,Professional,19140.88,19491.28,7137.09,26628.37,0,4.0,4565.08,766.35,0.0,107352.44,16203.87,128887.74,,,,230.0,7,4,11209.74,0.3973,0,0,0,0,0,0.0,0.0,0.0,1,272,197,6,0.3692,1800.0,Home Improvement,24,1,None,,0.094,452.18,0.017,0,1,6.72
45,1,Bachelor,Divorced,Mortgage,12.6,Mountain West,1,Retired,0.6,SME,Sales,32756.96,14564.48,0.0,14564.48,0,0.2,2920.4,2457.15,,164022.04,42313.37,211712.96,0.0,9519.85,,299.0,7,1,28079.22,0.3092,0,0,0,0,0,0.0,0.0,3.0,6,436,235,7,0.077,4600.0,Other,48,0,None,,0.1404,525.5,0.0361,1,1,6.68
37,1,HS Diploma,Single,Mortgage,3.2,Midwest,0,Full-Time,4.9,Corporate,Technical,15000.0,13025.58,,13025.58,1,3.2,4092.41,701.66,,176895.78,7391.1,189080.95,205382.31,0.0,0.0,313.0,9,2,27425.82,0.3053,1,0,0,0,0,0.0,0.0,1.0,4,313,165,8,0.4746,3000.0,Business,36,1,Vehicle,,0.2,357.82,0.0275,1,3,5.85
60,1,PhD,Single,Own,17.7,Mid-Atlantic,0,Unemployed,11.2,Self,Sales,129329.07,50000.0,,50000.0,1,2.5,20368.9,2860.27,0.0,289985.01,40385.65,353599.83,,5956.04,,489.0,7,4,54531.17,0.7107,0,0,0,1,0,0.0,0.0,,2,528,338,4,0.1348,22000.0,Medical,12,0,None,,0.1701,1071.51,0.0214,1,3,4.99
43,0,Some College,Widowed,Own,14.3,Great Plains,0,Full-Time,,Government,Management,35425.45,41543.1,3674.53,45217.63,1,1.2,5889.38,1635.82,0.0,0.0,20752.68,28277.88,0.0,10542.95,,393.0,9,4,48345.96,0.2663,1,0,0,0,0,0.0,0.0,0.0,1,503,318,4,0.2127,6200.0,Debt Consolidation,60,0,Property,0.0,0.175,567.9,0.0126,0,2,7.22
43,0,Bachelor,Married,Mortgage,7.7,Northeast,0,Full-Time,7.1,Corporate,Service,57516.66,20696.22,0.0,20696.22,0,2.6,7463.7,10892.56,0.0,60349.29,12800.25,91505.8,0.0,0.0,10636.1,567.0,15,5,148536.83,0.4412,0,0,0,0,0,0.0,0.0,1.0,1,567,260,10,0.3827,26600.0,Business,84,0,Vehicle,5067.35,0.4625,2014.89,0.0974,1,0,7.98
33,1,No Diploma,Single,Mortgage,13.2,Alaska/Hawaii,1,Full-Time,0.4,Corporate,Professional,44135.9,30255.28,0.0,30255.28,0,0.4,3270.19,24850.47,34175.51,0.0,24817.35,87113.52,0.0,5366.52,,27.0,6,2,,0.6609,2,0,0,0,0,0.0,0.0,2.0,4,52,18,4,0.5017,6700.0,Personal,24,0,None,,0.1518,141.19,0.0047,0,4,8.96
42,1,Bachelor,Divorced,Rent,2.8,Alaska/Hawaii,1,Full-Time,22.3,Non-Profit,Service,18933.01,15982.2,0.0,15982.2,0,10.2,29078.96,2985.95,0.0,0.0,0.0,32064.91,,0.0,0.0,86.0,6,5,10915.94,0.2595,0,0,0,0,0,0.0,0.0,,2,284,189,2,0.1964,7400.0,Auto,24,0,None,0.0,0.3909,614.54,0.0385,0,1,4.99
22,0,Some College,Single,Living with Family,1.6,Midwest,0,Part-Time,8.7,Non-Profit,Technical,40207.91,18353.58,0.0,18353.58,1,5.5,1093.78,2152.68,0.0,,,10845.36,,,61935.47,184.0,9,3,41100.2,0.7329,1,1,0,0,0,0.0,0.0,5.0,5,184,71,7,0.0809,63100.0,Personal,36,1,None,,1.5693,867.44,0.0473,0,3,6.96
43,1,HS Diploma,Divorced,Rent,2.0,Great Plains,1,Full-Time,2.4,Corporate,Technical,55274.64,22798.59,1133.02,23931.61,1,1.4,4311.54,4674.3,6173.49,0.0,,52704.13,,14454.83,0.0,370.0,12,4,91925.74,0.3223,2,0,0,0,0,0.0,0.0,0.0,0,370,213,8,0.0906,43700.0,Education,36,0,Property,11768.63,0.7906,680.0,0.0284,0,2,4.99
44,4,HS Diploma,Married,Mortgage,6.6,Mid-Atlantic,0,Full-Time,7.2,Corporate,Service,70644.59,38457.52,1443.27,39900.79,0,5.5,3790.5,12671.06,0.0,143796.79,,160258.35,0.0,0.0,,480.0,12,6,,0.1425,0,0,0,0,0,0.0,,1.0,2,480,220,8,0.0867,1800.0,Home Improvement,24,1,Property,18406.26,0.0255,91.9,0.0023,1,1,4.99
47,1,Some College,Married,Mortgage,4.2,Northwest,1,Full-Time,6.4,Self,Professional,46642.33,15491.68,,16295.34,0,2.6,12445.68,887.35,,,,289142.23,71574.94,0.0,,392.0,4,1,29656.67,0.3146,0,0,0,0,0,0.0,0.0,1.0,1,559,368,4,0.1198,12100.0,Debt Consolidation,24,0,Vehicle,2062.08,0.2594,533.2,0.0327,0,1,4.99
42,1,Bachelor,Married,Mortgage,0.6,Mid-Atlantic,1,Self-Employed,3.9,Government,Management,58755.28,22502.56,0.0,22502.56,1,2.1,500000.0,5601.17,,320436.67,18645.32,844683.16,282831.19,0.0,,393.0,9,2,61195.79,0.4531,1,1,0,0,0,0.0,0.0,2.0,3,393,221,8,0.4228,13000.0,Personal,48,0,Vehicle,,0.2213,730.13,0.0324,0,3,7.91
50,0,HS Diploma,Married,Living with Family,18.2,Great Plains,0,Self-Employed,1.0,Corporate,Professional,20863.5,8984.83,1145.04,10129.87,0,0.2,4973.54,1003.31,,,,20379.69,,0.0,,545.0,14,3,69859.41,0.1176,0,0,0,0,0,0.0,0.0,0.0,3,545,163,13,0.292,6200.0,Debt Consolidation,36,0,None,,0.2972,768.37,0.0759,0,0,4.99
37,1,HS Diploma,Single,Mortgage,10.1,Northeast,1,Self-Employed,0.7,SME,Professional,20202.02,17337.8,1348.79,18686.59,1,0.4,4631.1,614.02,,0.0,,29079.39,,30824.15,,198.0,6,3,9352.55,0.2748,0,0,0,0,0,0.0,0.0,3.0,4,300,215,5,0.2074,19200.0,Business,36,0,Property,0.0,0.9504,232.51,0.0124,0,2,4.99
42,1,HS Diploma,Married,Rent,1.0,Northeast,0,Full-Time,10.3,Corporate,Professional,26766.04,10197.9,0.0,10197.9,1,6.1,17053.82,4819.74,,,15730.09,57747.77,,0.0,0.0,,9,5,48460.95,0.6521,1,1,1,0,0,0.0,0.0,0.0,1,380,279,4,0.2513,7400.0,Auto,84,0,None,,0.2765,892.14,0.0875,0,4,8.75
